text,label
"O link de redefinição de senha expirou muito rápido, podem enviar outro?",produtivo
"Não estou recebendo as notificações de compra no meu e-mail",produtivo
"Parabéns pelo excelente suporte técnico de hoje",improdutivo
"Desejo um feliz ano novo para todos vocês",improdutivo
"Ok, muito obrigado",improdutivo
"Confirmado, agradeço o contato",improdutivo
"Bom descanso a todos",improdutivo
"Fico no aguardo do próximo boletim informativo",improdutivo
"Sem dúvidas no momento, obrigado",improdutivo
"Mensagem recebida com sucesso",improdutivo
"Apenas agradecendo pela rapidez no processo",improdutivo
"Boa noite e bom trabalho a todos",improdutivo
"O comprovante do PIX que enviei ontem não chegou ao destino",produtivo
"Gostaria de solicitar a segunda via do meu cartão de débito",produtivo
"O app fecha sozinho quando tento escanear um boleto",produtivo
"Não reconheço este lançamento de 50 reais no meu extrato de hoje",produtivo
"Poderiam aumentar o meu limite diário para transferências?",produtivo
"Minha empresa precisa alterar o responsável pela conta jurídica",produtivo
"Estou tentando renegociar minha dívida mas o chat não carrega",produtivo
"O código de ativação do SMS nunca chega no meu telefone",produtivo
"Quero saber o rendimento atual do meu investimento em CDB",produtivo
"Como faço para cadastrar o débito automático da conta de luz?",produtivo
"O sistema informa que meu CPF é inválido no cadastro inicial",produtivo
"Solicito o cancelamento imediato do seguro que não contratei",produtivo
"A fatura deste mês veio com um valor duplicado, podem estornar?",produtivo
"Preciso de um extrato consolidado dos últimos seis meses",produtivo
"O suporte técnico pode me ajudar com a instalação do token no PC?",produtivo
"Qual o horário limite para realizar uma TED no mesmo dia?",produtivo
"Meu cartão foi retido no caixa eletrônico, o que devo fazer?",produtivo
"Dificuldade em visualizar o saldo da conta poupança no portal",produtivo
"Gostaria de informações sobre o financiamento de veículos",produtivo
"A página de login está apresentando erro de certificado de segurança",produtivo
"Bom dia! Que a vossa equipa tenha um excelente dia de trabalho",improdutivo
"Agradeço imenso a rapidez na resolução do meu problema anterior",improdutivo
"Um feliz aniversário para a instituição, parabéns pelos 20 anos",improdutivo
"Desejo um ótimo descanso para todos este final de semana",improdutivo
"Passando apenas para deixar um elogio à atendente Maria",improdutivo
"Recebido com sucesso, muito obrigado pela atenção",improdutivo
"Olá, espero que este e-mail os encontre bem",improdutivo
"Fico muito satisfeito com a nova atualização do aplicativo",improdutivo
"Votos de muito sucesso e prosperidade para este novo ciclo",improdutivo
"Mensagem de teste, favor desconsiderar",improdutivo
"Bom trabalho a todos, continuem com o excelente serviço",improdutivo
"Grato pelo envio das informações, tenham um bom dia",improdutivo
"Apenas um cumprimento cordial à equipa de suporte",improdutivo
"Que as festas de fim de ano sejam maravilhosas para todos",improdutivo
"Fico no aguardo de novidades, abraços",improdutivo
"Obrigado por tudo, nota dez para o atendimento",improdutivo
"Confirmando a leitura da newsletter mensal",improdutivo
"Desejo uma boa tarde a todos os colegas",improdutivo
"Sem mais para o momento, apenas agradecendo",improdutivo
"Parabéns pela agilidade e transparência nos processos",improdutivo
"O sistema de folha de pagamento não está processando os dados",produtivo
"Como solicitar a portabilidade de salário para esta conta?",produtivo
"O link para o boleto em PDF está a dar erro 404",produtivo
"Preciso atualizar a minha senha de letras que foi bloqueada",produtivo
"A minha conta foi debitada mas o pagamento não foi confirmado",produtivo
"Gostaria de entender as taxas de manutenção da conta empresa",produtivo
"O meu cartão de crédito ainda não chegou, já passou o prazo",produtivo
"Dificuldade em validar a minha identidade através da foto no app",produtivo
"Poderiam enviar-me o informe de rendimentos por e-mail?",produtivo
"O suporte pode verificar a lentidão extrema no portal de trading?",produtivo
"Preciso de ajuda, meu token de acesso não está chegando no celular",produtivo
"O boleto que venci ontem está com erro no código de barras",produtivo
"Gostaria de saber o status do meu pedido de aumento de limite",produtivo
"A página de transferência está travando quando tento confirmar",produtivo
"Não consigo baixar o informe de rendimentos para o Imposto de Renda",produtivo
"Desejo cancelar meu agendamento de pagamento para amanhã",produtivo
"O suporte pode verificar por que minha conta foi bloqueada preventivamente?",produtivo
"Recebi um e-mail suspeito em nome do banco, poderiam analisar?",produtivo
"Como faço para atualizar meus dados cadastrais no aplicativo?",produtivo
"Meu cartão chegou mas não consigo fazer o desbloqueio pelo app",produtivo
"Erro inesperado ao tentar gerar a segunda via da fatura",produtivo
"Solicito a revisão da taxa de juros aplicada no meu contrato",produtivo
"O sistema não reconhece meu CPF no momento do login",produtivo
"Gostaria de contestar uma compra que não reconheço no meu extrato",produtivo
"Qual o prazo para a compensação de um DOC realizado hoje?",produtivo
"Obrigado pelo retorno rápido, o atendimento foi ótimo",improdutivo
"Feliz Natal para toda a equipe da AutoU e sucesso no novo ano",improdutivo
"Passando para agradecer pela ajuda de ontem, abraços",improdutivo
"Desejo um excelente feriado a todos os colaboradores",improdutivo
"Bom dia, apenas confirmando o recebimento da mensagem anterior",improdutivo
"Parabéns pela nova interface do sistema, ficou muito intuitiva",improdutivo
"Olá, como vocês estão hoje? Espero que bem",improdutivo
"Apenas um teste de envio de e-mail para validar a caixa",improdutivo
"Que vocês tenham uma ótima semana de trabalho",improdutivo
"Valeu pessoal, até a próxima",improdutivo
"Gostaria de deixar meu elogio ao atendente João pelo suporte",improdutivo
"Favor desconsiderar o e-mail enviado por engano",improdutivo
"Bom dia equipe, seguem meus cumprimentos",improdutivo
"Desejo muita prosperidade para a empresa neste ano",improdutivo
"Agradeço a atenção dispensada no chamado anterior",improdutivo
"O sistema está dando erro 500 ao abrir o extrato consolidado",produtivo
"Minha empresa precisa de um novo acesso para o setor financeiro",produtivo
"Poderiam me enviar o manual de integração da API?",produtivo
"O saldo da minha conta não atualizou após o depósito em dinheiro",produtivo
"Estou com dificuldade para configurar o débito automático",produtivo
"Vocês atendem aos finais de semana para suporte crítico?",produtivo
"Meu arquivo PDF de faturamento não abre, parece estar corrompido",produtivo
"Gostaria de agendar uma reunião para discutir novas soluções",produtivo
"O link de redefinição de senha expirou muito rápido, podem enviar outro?",produtivo
"Não estou recebendo as notificações de compra no meu e-mail",produtivo
"Parabéns pelo excelente suporte técnico de hoje",improdutivo
"Desejo um feliz ano novo para todos vocês",improdutivo
"Ok, muito obrigado",improdutivo
"Confirmado, agradeço o contato",improdutivo
"Bom descanso a todos",improdutivo
"Fico no aguardo do próximo boletim informativo",improdutivo
"Sem dúvidas no momento, obrigado",improdutivo
"Mensagem recebida com sucesso",improdutivo
"Apenas agradecendo pela rapidez no processo",improdutivo
"Boa noite e bom trabalho a todos",improdutivo
"O comprovante do PIX que enviei ontem não chegou ao destino",produtivo
"Gostaria de solicitar a segunda via do meu cartão de débito",produtivo
"O app fecha sozinho quando tento escanear um boleto",produtivo
"Não reconheço este lançamento de 50 reais no meu extrato de hoje",produtivo
"Poderiam aumentar o meu limite diário para transferências?",produtivo
"Minha empresa precisa alterar o responsável pela conta jurídica",produtivo
"Estou tentando renegociar minha dívida mas o chat não carrega",produtivo
"O código de ativação do SMS nunca chega no meu telefone",produtivo
"Quero saber o rendimento atual do meu investimento em CDB",produtivo
"Como faço para cadastrar o débito automático da conta de luz?",produtivo
"O sistema informa que meu CPF é inválido no cadastro inicial",produtivo
"Solicito o cancelamento imediato do seguro que não contratei",produtivo
"A fatura deste mês veio com um valor duplicado, podem estornar?",produtivo
"Preciso de um extrato consolidado dos últimos seis meses",produtivo
"O suporte técnico pode me ajudar com a instalação do token no PC?",produtivo
"Qual o horário limite para realizar uma TED no mesmo dia?",produtivo
"Meu cartão foi retido no caixa eletrônico, o que devo fazer?",produtivo
"Dificuldade em visualizar o saldo da conta poupança no portal",produtivo
"Gostaria de informações sobre o financiamento de veículos",produtivo
"A página de login está apresentando erro de certificado de segurança",produtivo
"Bom dia! Que a vossa equipa tenha um excelente dia de trabalho",improdutivo
"Agradeço imenso a rapidez na resolução do meu problema anterior",improdutivo
"Um feliz aniversário para a instituição, parabéns pelos 20 anos",improdutivo
"Desejo um ótimo descanso para todos este final de semana",improdutivo
"Passando apenas para deixar um elogio à atendente Maria",improdutivo
"Recebido com sucesso, muito obrigado pela atenção",improdutivo
"Olá, espero que este e-mail os encontre bem",improdutivo
"Fico muito satisfeito com a nova atualização do aplicativo",improdutivo
"Votos de muito sucesso e prosperidade para este novo ciclo",improdutivo
"Mensagem de teste, favor desconsiderar",improdutivo
"Bom trabalho a todos, continuem com o excelente serviço",improdutivo
"Grato pelo envio das informações, tenham um bom dia",improdutivo
"Apenas um cumprimento cordial à equipa de suporte",improdutivo
"Que as festas de fim de ano sejam maravilhosas para todos",improdutivo
"Fico no aguardo de novidades, abraços",improdutivo
"Obrigado por tudo, nota dez para o atendimento",improdutivo
"Confirmando a leitura da newsletter mensal",improdutivo
"Desejo uma boa tarde a todos os colegas",improdutivo
"Sem mais para o momento, apenas agradecendo",improdutivo
"Parabéns pela agilidade e transparência nos processos",improdutivo
"O sistema de folha de pagamento não está processando os dados",produtivo
"Como solicitar a portabilidade de salário para esta conta?",produtivo
"O link para o boleto em PDF está a dar erro 404",produtivo
"Preciso atualizar a minha senha de letras que foi bloqueada",produtivo
"A minha conta foi debitada mas o pagamento não foi confirmado",produtivo
"Gostaria de entender as taxas de manutenção da conta empresa",produtivo
"O meu cartão de crédito ainda não chegou, já passou o prazo",produtivo
"Dificuldade em validar a minha identidade através da foto no app",produtivo
"Poderiam enviar-me o informe de rendimentos por e-mail?",produtivo
"O suporte pode verificar a lentidão extrema no portal de trading?",produtivo
